,Judul
0,"Kontribusi Terhadap Keberlanjutan Lingkungan, UNAIR Raih 4 Trees Rating dari UI Greenmetric"
1,FK UNAIR Sambut 31 PPDS Program Hybrid TNI
2,Dekan FH UNAIR: Pendidikan Hukum Harus Berubah Agar Dapat Mencetak Pemimpin Masa Depan
3,"Jalani Hidup Sehat, Ini Yang Perlu Disiapkan "
4,"5 Mahasiswa UNAIR Ikuti Student Exchange dan Konferensi di Thailand, Malaysia, dan Singapura"
5,Departemen Komunikasi UNAIR Gelar Kuliah Tamu Kesehatan Mental Remaja
6,Waspadai Resistensi Antibiotik Saat Sakit
7,"Dosen Toksikologi UNAIR Paparkan Toksisitas Etilen Glikol, Senyawa Kimia yang Diduga Penyebab Gagal Ginjal Akut pada Anak"
8,Dosen UNAIR Dorong Percepatan Kastrasi Jantan untuk Tekan Populasi Kucing Liar
9,Dua Mahasiswa Perikanan UNAIR Ikuti Summer School di Hiroshima University
10,"Sambut Pertukaran Mahasiswa, Rektor UNAIR: Pulang Harus Jadi Orang Hebat"
11,"Mawapres FK UNAIR, Sebulan Borong 4 Gelar Juara"
12,Mahasiswa Ilmu Sejarah UNAIR Dinobatkan sebagai Putri Pariwisata Kalimantan Timur 2022
13,Kajian Sejarah Pers Indonesia Bawa Mahasiswa FIB Sabet Juara 3 LKTIN di UI
14,Mahasiswa Farmasi UNAIR Cetuskan Ide Pengobatan Kanker Payudara Berbasis Daun Pepaya
15,Inovasi Dosen FPK UNAIR Manfaatkan Limbah PT. Ajinomoto Sebagai Pakan Ikan
16,Peneliti FKM UNAIR Kembangkan Formula Fermentasi Bawang untuk Lansia Pasca Vaksinasi
17,Ketua KPK Kunjungi UNAIR
18,UNAIR Terima Kunjungan Dubes Pakistan
19,MoU UNAIR-Pemkab Banyuwangi Perkuat Kerjasama Bidang Pendidikan
20,Efek Penggunaan Chlorhexidine dan Povidone-Iodine Terhadap viral load SARS-CoV-2
21,Scaffold Nanofiber Berbasis Polylacticacid-Polycaprolactone Untuk Cedera Anterior Cruciate Ligament
22,Autograf Tulang Rawan dalam Penanganan Kasus Ameloblastoma Pasca Hemi-mandibulektomi
23,Mengenal Kanker Kepala-Leher yang Disebabkan oleh Virus HPV
24,Mahasiswa Belanda Sebar Bibit Ikan untuk Cegah Malaria di Banyuwangi
25,Departemen THT-KL Kukuhkan Ahli Onkologi THT dari Malaysia jadi Adjunct Professor
26,"Mawapres FK UNAIR, Sebulan Borong 4 Gelar Juara"
27,Kajian Sejarah Pers Indonesia Bawa Mahasiswa FIB Sabet Juara 3 LKTIN di UI
28,"Gelisah Penggunaan Plastik di Kereta Api, Mahasiswa UNAIR Temukan Gerakan Anti Plastik"
29,Gowes Bareng Gubernur dan Alumni UNAIR Ramaikan World Heart Day
30,Khofifah Resmi Mulai Semarak Peringatan HUT EMAS IKA UNAIR
31,Alumni UNAIR Siap Luncurkan Aplikasi untuk Petani Walet
32,"G20, Hegemoni, dan Spirit Tak Berpuas Diri"
33,"Minuman Berpemanis dan Plastik Kena Cukai, Dosen UNAIR: Intervensi Hilir juga Perlu  "
34,SDGs Center UNAIR Gelar Workshop Peningkatan Reputasi dan Kualitas Impact
35,Guru Besar FK UNAIR Respons Ramainya Kasus Gagal Ginjal Akut pada Anak
36,FPK UNAIR Tingkatkan Hasil Produksi Ikan lewat Pengabdian Masyarakat
37,Pengembangan Membran Komposit Silika Berbasis Kitosan/Sekam Padi untuk Pemurnian Biodiesel
38,"Atasi Stunting, Guru Besar FK UNAIR Berikan Penyuluhan di Puskesmas Arosbaya"
39,Apa yang Harus Dilakukan Jika Ibu Hamil Terpapar Monkeypox?
40,Simak Tips Raih Beasiswa Studi Lanjut ke Taiwan dalam Gelaran THEF 2022
41,BEM FKp UNAIR Gelar Webinar dengan Tajuk Pondasi dalam Public Speaking
42,Audiometri Otomatis sebagai Metode Pemeriksaan Pendengaran pada Penderita Tuberkulosis Resisten Obat
43,"Menolak Lupa, FH UNAIR Bahas Pelanggaran HAM 65"
